layer,x1,y1,x2,y2,width,height,area,grid_r,grid_c
via2,10.605,18.965,10.755,19.115000000000002,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,1
via2,10.925,18.965,11.075000000000001,19.115000000000002,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,1
via2,11.245000000000001,18.965,11.395,19.115000000000002,0.14999999999999858,0.15000000000000213,0.022500000000000107,1,1
via2,17.045,18.965,17.195,19.115000000000002,0.14999999999999858,0.15000000000000213,0.022500000000000107,1,1
via2,17.365000000000002,18.965,17.515,19.115000000000002,0.14999999999999858,0.15000000000000213,0.022500000000000107,1,1
via2,17.685,18.965,17.835,19.115000000000002,0.15000000000000213,0.15000000000000213,0.02250000000000064,1,1
via2,18.005,18.965,18.155,19.115000000000002,0.15000000000000213,0.15000000000000213,0.02250000000000064,1,1
via2,18.325,18.965,18.475,19.115000000000002,0.15000000000000213,0.15000000000000213,0.02250000000000064,1,1
via2,18.645,18.965,18.795,19.115000000000002,0.15000000000000213,0.15000000000000213,0.02250000000000064,1,1
via2,7.9750000000000005,17.775000000000002,8.125,17.925,0.14999999999999947,0.14999999999999858,0.022499999999999708,1,0
via2,8.895,17.435,9.045,17.585,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,0
via2,12.115,17.435,12.265,17.585,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,1
via2,16.255,16.755,16.405,16.905,0.15000000000000213,0.15000000000000213,0.02250000000000064,1,1
via2,13.345,16.245,13.495000000000001,16.395,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,1
via2,13.665000000000001,16.245,13.815,16.395,0.14999999999999858,0.14999999999999858,0.022499999999999572,1,1
via2,13.985,16.245,14.135,16.395,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,1
via2,14.305,16.245,14.455,16.395,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,1
via2,14.625,16.245,14.775,16.395,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,1
via2,14.945,16.245,15.095,16.395,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,1
via2,8.895,15.735000000000001,9.045,15.885,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,0
via2,11.655,15.735000000000001,11.805,15.885,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,1
via2,7.9750000000000005,15.055,8.125,15.205,0.14999999999999947,0.15000000000000036,0.022499999999999975,1,0
via2,12.115,15.055,12.265,15.205,0.15000000000000036,0.15000000000000036,0.022500000000000107,1,1
via2,9.645,13.525,9.795,13.675,0.15000000000000036,0.15000000000000036,0.022500000000000107,1,0
via2,9.965,13.525,10.115,13.675,0.15000000000000036,0.15000000000000036,0.022500000000000107,1,0
via2,10.285,13.525,10.435,13.675,0.15000000000000036,0.15000000000000036,0.022500000000000107,1,1
via2,10.605,13.525,10.755,13.675,0.15000000000000036,0.15000000000000036,0.022500000000000107,1,1
via2,10.925,13.525,11.075000000000001,13.675,0.15000000000000036,0.15000000000000036,0.022500000000000107,1,1
via2,11.245000000000001,13.525,11.395,13.675,0.14999999999999858,0.15000000000000036,0.02249999999999984,1,1
via2,17.045,13.525,17.195,13.675,0.14999999999999858,0.15000000000000036,0.02249999999999984,1,1
via2,17.365000000000002,13.525,17.515,13.675,0.14999999999999858,0.15000000000000036,0.02249999999999984,1,1
via2,17.685,13.525,17.835,13.675,0.15000000000000213,0.15000000000000036,0.022500000000000374,1,1
via2,18.005,13.525,18.155,13.675,0.15000000000000213,0.15000000000000036,0.022500000000000374,1,1
via2,18.325,13.525,18.475,13.675,0.15000000000000213,0.15000000000000036,0.022500000000000374,1,1
via2,18.645,13.525,18.795,13.675,0.15000000000000213,0.15000000000000036,0.022500000000000374,1,1
via2,7.9750000000000005,13.015,8.125,13.165000000000001,0.14999999999999947,0.15000000000000036,0.022499999999999975,1,0
